2,5,27,29
15,27,31,33
9,16,22,
12,14,16,
2,9,44,
9,26,39,
10,31,,
1,47,49,
12,14,16,
12,14,16,
1,19,25,49
15,23,36,
15,17,36,
15,18,36,37
1,46,48,49
1,49,,
12,14,16,
9,22,26,
12,14,15,16
2,24,47,
9,22,23,
3,15,21,47
21,32,41,48
1,21,49,
9,22,48,
15,31,36,
12,14,16,25
1,9,22,32
12,14,15,16
15,21,26,36
12,13,14,16
15,36,,
2,9,14,15
12,14,16,
9,22,49,
11,12,14,16
4,9,22,
12,14,16,
9,21,26,47
12,14,16,
19,24,29,
1,7,38,
15,25,32,48
12,14,16,36
1,38,49,
15,36,,
12,14,16,
15,23,26,36
1,37,49,
12,14,16,
0,12,36,39
2,15,41,
9,22,,
12,14,16,
9,22,,
12,14,16,
12,14,15,16
12,14,16,
1,20,28,49
3,12,14,16
8,12,14,16
1,16,22,33
1,21,23,45
9,22,33,44
3,7,12,14
15,36,,
1,38,49,
15,36,,
12,14,16,
1,49,,
9,13,22,
12,14,16,
1,3,23,34
15,19,36,46
1,49,,
4,9,21,22
12,14,16,
7,15,23,31
12,14,16,
0,9,12,22
22,36,,
12,14,16,49
2,4,15,36
12,14,16,
9,22,,
12,14,16,
4,9,22,46
12,14,16,
9,10,22,29
12,14,16,20
15,36,,
12,15,22,36
12,14,16,
15,,,
9,22,,
3,5,14,20
20,22,27,29
15,36,,
12,14,16,
14,15,32,
9,13,22,
1,20,49,
0,45,,
8,32,35,40
9,,,
12,14,16,
3,21,43,46
6,9,22,42
12,14,16,38
9,22,,
12,14,16,
1,21,49,
9,22,,
12,14,16,
15,22,31,40
15,36,,
9,18,38,
11,12,14,16
4,16,43,44
13,15,18,36
1,49,,
1,12,14,16
1,49,,
12,14,16,
15,17,26,34
12,14,16,
15,36,,
1,46,49,
0,9,15,36
9,22,35,45
9,22,33,
12,14,16,38
9,22,,
5,10,23,
12,14,16,
1,36,49,
15,32,36,41
12,14,16,29
5,9,13,22
0,12,14,16
14,15,36,
12,14,16,
9,22,,
6,12,14,
15,36,,
3,12,14,16
1,6,15,18
0,25,29,35
5,9,20,22
1,49,,
8,18,29,
12,18,29,35
12,14,16,48
12,16,41,
4,15,36,
