经度,纬度,业务时间,卡片记录编码,线路名称,经纬度,上车站点,实际站点
114.063301,22.52535,2014-06-09 18:43,298316936,68路,"114.063301,22.52535",25,14
114.023452,22.531582999999998,2014-06-09 18:02,294543740,68路,"114.023452,22.531583",26,9
114.04681299999999,22.518766,2014-06-09 18:15,20991711,68路,"114.046813,22.518766",8,12
114.03417900000001,22.62605,2014-06-09 18:15,293918106,68路,"114.034179,22.62605",10,30
114.03226399999998,22.629917000000003,2014-06-09 18:17,329843338,68路,"114.032264,22.629917",10,30
114.03548400000001,22.642503,2014-06-09 18:25,291639321,68路,"114.035484,22.642503",2,31
114.044937,22.5195,2014-06-09 18:20,291818194,68路,"114.044937,22.5195",8,12
114.062316,22.522199,2014-06-09 18:25,291403255,68路,"114.062316,22.522199",25,14
114.073448,22.542966,2014-06-09 18:39,327156293,68路,"114.073448,22.542966",9,17
114.07330300000001,22.542932,2014-06-09 18:09,294341592,68路,"114.073303,22.542932",9,17
114.04063400000001,22.610366,2014-06-09 18:14,330149773,68路,"114.040634,22.610366",19,28
114.03548400000001,22.621833,2014-06-09 18:20,320977226,68路,"114.035484,22.621833",10,30
114.031829,22.636217000000002,2014-06-09 18:30,326955988,68路,"114.031829,22.636217",2,31
114.06111899999999,22.647766,2014-06-09 18:46,361369203,68路,"114.061119,22.647766",13,36
114.03198200000001,22.6387,2014-06-09 18:38,296016489,68路,"114.031982,22.6387",2,31
114.064567,22.657382000000002,2014-06-09 18:38,294107738,68路,"114.064567,22.657382",1,37
114.063369,22.655849,2014-06-09 18:39,680947533,68路,"114.063369,22.655849",1,37
114.060134,22.520767000000003,2014-06-09 18:41,325469203,68路,"114.060134,22.520767",25,14
113.945182,22.533683,2014-06-09 18:50,322036239,68路,"113.945182,22.533683",29,4
113.94065,22.562182999999997,2014-06-09 18:22,290248780,68路,"113.94065,22.562183",17,2
113.944999,22.537916,2014-06-09 18:43,322566505,68路,"113.944999,22.537916",29,4
114.060852,22.575682999999998,2014-06-09 18:11,323225469,68路,"114.060852,22.575683",0,37
114.060852,22.575682999999998,2014-06-09 18:11,324643343,68路,"114.060852,22.575683",0,37
114.061302,22.572349,2014-06-09 18:03,330688763,68路,"114.061302,22.572349",38,22
114.02321599999999,22.531549,2014-06-09 18:26,280178308,68路,"114.023216,22.531549",26,9
114.049049,22.518266,2014-06-09 18:39,294218470,68路,"114.049049,22.518266",8,12
114.062919,22.537015,2014-06-09 18:50,327517208,68路,"114.062919,22.537015",21,15
114.062614,22.563132999999997,2014-06-09 18:58,296268120,68路,"114.062614,22.563133",31,21
114.04526499999999,22.598882,2014-06-09 18:41,325298348,68路,"114.045265,22.598882",24,25
114.03921499999998,22.522867,2014-06-09 18:04,325450765,68路,"114.039215,22.522867",5,11
114.04474599999999,22.519682999999997,2014-06-09 18:06,296367155,68路,"114.044746,22.519683",8,12
113.94036799999999,22.562382999999997,2014-06-09 18:01,327174624,68路,"113.940368,22.562383",17,2
114.030097,22.527465,2014-06-09 18:36,330209532,68路,"114.030097,22.527465",4,10
114.06300300000001,22.536817000000003,2014-06-09 18:57,328645065,68路,"114.063003,22.536817",21,15
114.06295,22.534082,2014-06-09 18:25,324149921,68路,"114.06295,22.534082",21,15
114.06210300000001,22.6403,2014-06-09 18:11,251350973,68路,"114.062103,22.6403",11,34
114.043411,22.520462,2014-06-09 18:33,298896331,68路,"114.043411,22.520462",8,12
113.98481699999999,22.523876,2014-06-09 18:38,329872332,68路,"113.984817,22.523876",0,37
113.94062,22.559133,2014-06-09 18:09,330662743,68路,"113.94062,22.559133",17,2
113.940582,22.542467000000002,2014-06-09 18:27,328162300,68路,"113.940582,22.542467",6,3
113.94501399999999,22.537582,2014-06-09 18:32,322296606,68路,"113.945014,22.537582",29,4
113.94501399999999,22.536066,2014-06-09 18:32,361083135,68路,"113.945014,22.536066",29,4
114.062164,22.640283,2014-06-09 18:22,330189598,68路,"114.062164,22.640283",11,34
