"����","γ��","ҵ��ʱ��","��Ƭ��¼����","��·����","��γ��","�ϳ�վ��","ʵ��վ��"
114.064338,22.656986,2014-06-09 10:16:00,293452445,"68·","114.064338,22.656986",1,37
114.034683,22.642583,2014-06-09 10:21:00,292190124,"68·","114.034683,22.642583",2,31
114.034683,22.642583,2014-06-09 10:21:00,321553398,"68·","114.034683,22.642583",2,31
113.948257,22.530096,2014-06-09 10:42:00,291146968,"68·","113.948257,22.530096",3,5
113.948257,22.530096,2014-06-09 10:42:00,293122627,"68·","113.948257,22.530096",3,5
114.029754,22.527545,2014-06-09 10:53:00,322278410,"68·","114.029754,22.527545",4,10
114.036056,22.524547,2014-06-09 10:55:00,329735636,"68·","114.036056,22.524547",5,11
114.038627,22.523084,2014-06-09 10:56:00,293001487,"68·","114.038627,22.523084",5,11
113.940483,22.549722,2014-06-09 11:06:00,23384881,"68·","113.940483,22.549722",6,3
113.940483,22.549722,2014-06-09 11:06:00,291153811,"68·","113.940483,22.549722",6,3
113.991752,22.525581,2014-06-09 11:21:00,326926634,"68·","113.991752,22.525581",7,6
114.047065,22.518667,2014-06-09 11:25:00,327543149,"68·","114.047065,22.518667",8,12
114.075126,22.542928,2014-06-09 11:46:00,295766237,"68·","114.075126,22.542928",9,17
114.035072,22.6231,2014-06-09 12:05:00,251385411,"68·","114.035072,22.6231",10,30
114.035072,22.6231,2014-06-09 12:05:00,293641560,"68·","114.035072,22.6231",10,30
114.034065,22.642652,2014-06-09 12:15:00,20705404,"68·","114.034065,22.642652",2,31
114.034065,22.642652,2014-06-09 12:15:00,251377066,"68·","114.034065,22.642652",2,31
114.062446,22.63965,2014-06-09 12:27:00,330244602,"68·","114.062446,22.63965",11,34
114.058547,22.637849,2014-06-09 12:34:00,292151123,"68·","114.058547,22.637849",12,33
114.062644,22.639326,2014-06-09 12:36:00,323160407,"68·","114.062644,22.639326",11,34
114.062644,22.639326,2014-06-09 12:36:00,328018375,"68·","114.062644,22.639326",11,34
114.062644,22.639326,2014-06-09 12:36:00,328153060,"68·","114.062644,22.639326",11,34
114.061203,22.648195,2014-06-09 12:39:00,660062210,"68·","114.061203,22.648195",13,36
114.065429,22.551076,2014-06-09 09:01:00,328706579,"68·","114.065429,22.551076",20,20
114.046569,22.518995,2014-06-09 09:02:00,20674536,"68·","114.046569,22.518995",8,12
114.046569,22.518995,2014-06-09 09:02:00,290458994,"68·","114.046569,22.518995",8,12
114.046569,22.518995,2014-06-09 09:02:00,290703701,"68·","114.046569,22.518995",8,12
114.064216,22.537551,2014-06-09 09:08:00,360963590,"68·","114.064216,22.537551",21,15
114.046318,22.519163,2014-06-09 09:25:00,20184776,"68·","114.046318,22.519163",8,12
114.046318,22.519163,2014-06-09 09:25:00,290809519,"68·","114.046318,22.519163",8,12
114.029228,22.528411,2014-06-09 09:32:00,323624317,"68·","114.029228,22.528411",4,10
114.029228,22.528411,2014-06-09 09:32:00,325696404,"68·","114.029228,22.528411",4,10
114.03469,22.525232,2014-06-09 09:38:00,23226777,"68·","114.03469,22.525232",5,11
114.03469,22.525232,2014-06-09 09:38:00,324698219,"68·","114.03469,22.525232",5,11
114.046813,22.595199,2014-06-09 09:42:00,320770480,"68·","114.046813,22.595199",22,23
114.046813,22.595199,2014-06-09 09:42:00,321652611,"68·","114.046813,22.595199",22,23
114.046813,22.595199,2014-06-09 09:42:00,324734088,"68·","114.046813,22.595199",22,23
114.039848,22.608016,2014-06-09 09:46:00,291141284,"68·","114.039848,22.608016",23,27
114.039848,22.608016,2014-06-09 09:46:00,293800076,"68·","114.039848,22.608016",23,27
114.039848,22.608016,2014-06-09 09:46:00,294434052,"68·","114.039848,22.608016",23,27
114.039848,22.608016,2014-06-09 09:46:00,360390347,"68·","114.039848,22.608016",23,27
113.940605,22.540599,2014-06-09 12:27:00,320115085,"68·","113.940605,22.540599",6,3
114.044654,22.599288,2014-06-09 13:22:00,296126553,"68·","114.044654,22.599288",24,25
114.03997,22.640933,2014-06-09 15:16:00,294859595,"68·","114.03997,22.640933",2,31
114.03997,22.640933,2014-06-09 15:19:00,329691528,"68·","114.03997,22.640933",2,31
114.05265,22.636804,2014-06-09 11:03:00,328354754,"68·","114.05265,22.636804",12,33
114.040222,22.640779,2014-06-09 11:07:00,321385452,"68·","114.040222,22.640779",2,31
114.039413,22.641166,2014-06-09 11:07:00,329563335,"68·","114.039413,22.641166",2,31
114.032066,22.639432,2014-06-09 11:13:00,329336996,"68·","114.032066,22.639432",2,31
114.031753,22.63746,2014-06-09 11:13:00,326108867,"68·","114.031753,22.63746",2,31
114.040733,22.609395,2014-06-09 11:27:00,360684999,"68·","114.040733,22.609395",19,28
114.07125,22.551,2014-06-09 11:47:00,700068632,"68·","114.07125,22.551",15,18
114.046646,22.519039,2014-06-09 12:04:00,293424514,"68·","114.046646,22.519039",8,12
113.94857,22.530099,2014-06-09 13:08:00,292837478,"68·","113.94857,22.530099",3,5
114.074653,22.542932,2014-06-09 13:39:00,327528265,"68·","114.074653,22.542932",9,17
114.04557,22.598833,2014-06-09 13:57:00,325950244,"68·","114.04557,22.598833",24,25
113.940681,22.560583,2014-06-09 17:52:00,296280531,"68·","113.940681,22.560583",17,2
114.032348,22.640167,2014-06-09 10:19:00,327152938,"68·","114.032348,22.640167",2,31
114.034851,22.623466,2014-06-09 10:28:00,322127454,"68·","114.034851,22.623466",10,30
114.058486,22.637849,2014-06-09 14:04:00,330119161,"68·","114.058486,22.637849",12,33
114.066398,22.659517,2014-06-09 15:16:00,361278093,"68·","114.066398,22.659517",1,37
113.940353,22.542299,2014-06-09 17:41:00,23576057,"68·","113.940353,22.542299",6,3
113.940551,22.541133,2014-06-09 17:43:00,323453449,"68·","113.940551,22.541133",6,3
114.071968,22.654766,2014-06-09 09:41:00,292922504,"68·","114.071968,22.654766",28,39
114.039031,22.641307,2014-06-09 10:01:00,327142283,"68·","114.039031,22.641307",2,31
114.061691,22.521764,2014-06-09 11:06:00,321196871,"68·","114.061691,22.521764",25,14
114.04647,22.5191,2014-06-09 11:11:00,324999292,"68·","114.04647,22.5191",8,12
114.039329,22.522741,2014-06-09 11:15:00,327096125,"68·","114.039329,22.522741",5,11
114.052391,22.636951,2014-06-09 10:53:00,322359534,"68·","114.052391,22.636951",12,33
114.032066,22.639345,2014-06-09 11:01:00,330703468,"68·","114.032066,22.639345",2,31
114.032165,22.63385,2014-06-09 11:02:00,326605312,"68·","114.032165,22.63385",10,30
114.071647,22.543216,2014-06-09 11:38:00,329891218,"68·","114.071647,22.543216",9,17
114.039085,22.52275,2014-06-09 13:20:00,323701819,"68·","114.039085,22.52275",5,11
114.062965,22.523408,2014-06-09 13:28:00,20646264,"68·","114.062965,22.523408",25,14
114.03971,22.641084,2014-06-09 15:53:00,329223349,"68·","114.03971,22.641084",2,31
114.032546,22.62955,2014-06-09 16:07:00,323634115,"68·","114.032546,22.62955",10,30
114.061325,22.651731,2014-06-09 09:08:00,660429260,"68·","114.061325,22.651731",13,36
114.031684,22.637847,2014-06-09 09:30:00,360891291,"68·","114.031684,22.637847",2,31
114.031669,22.637332,2014-06-09 09:30:00,327395219,"68·","114.031669,22.637332",2,31
114.051391,22.518331,2014-06-09 10:36:00,294054731,"68·","114.051391,22.518331",8,12
114.045783,22.519332,2014-06-09 10:38:00,361070240,"68·","114.045783,22.519332",8,12
113.940429,22.549165,2014-06-09 12:05:00,322067867,"68·","113.940429,22.549165",6,3
114.039619,22.522392,2014-06-09 12:30:00,327351914,"68·","114.039619,22.522392",5,11
114.035179,22.642452,2014-06-09 13:23:00,322248496,"68·","114.035179,22.642452",2,31
114.037498,22.616266,2014-06-09 15:15:00,700265377,"68·","114.037498,22.616266",10,30
113.940414,22.548749,2014-06-09 17:21:00,20972055,"68·","113.940414,22.548749",6,3
113.940498,22.545099,2014-06-09 17:23:00,321310620,"68·","113.940498,22.545099",6,3
113.940567,22.540966,2014-06-09 17:24:00,329265852,"68·","113.940567,22.540966",6,3
113.945068,22.533649,2014-06-09 17:29:00,281022238,"68·","113.945068,22.533649",29,4
114.032333,22.630899,2014-06-09 09:01:00,328835610,"68·","114.032333,22.630899",10,30
114.033416,22.627666,2014-06-09 09:02:00,294438853,"68·","114.033416,22.627666",10,30
114.035346,22.621532,2014-06-09 09:05:00,326705981,"68·","114.035346,22.621532",10,30
113.9944,22.52712,2014-06-09 11:48:00,324341065,"68·","113.9944,22.52712",18,7
114.063117,22.655666,2014-06-09 13:12:00,295016404,"68·","114.063117,22.655666",1,37
114.03955,22.640949,2014-06-09 14:52:00,294335789,"68·","114.03955,22.640949",2,31
114.064819,22.537916,2014-06-09 15:41:00,298865092,"68·","114.064819,22.537916",21,15
114.031852,22.6389,2014-06-09 15:13:00,662240237,"68·","114.031852,22.6389",2,31
114.03495,22.623065,2014-06-09 15:19:00,296184397,"68·","114.03495,22.623065",10,30
114.071548,22.655033,2014-06-09 10:23:00,330364774,"68·","114.071548,22.655033",28,39
114.060966,22.638751,2014-06-09 10:33:00,281027741,"68·","114.060966,22.638751",11,34
114.042053,22.639728,2014-06-09 10:40:00,296387037,"68·","114.042053,22.639728",2,31
114.035041,22.642528,2014-06-09 10:42:00,292758793,"68·","114.035041,22.642528",2,31
114.031997,22.639204,2014-06-09 10:45:00,294206770,"68·","114.031997,22.639204",2,31
114.037513,22.616399,2014-06-09 10:56:00,322950159,"68·","114.037513,22.616399",10,30
114.075668,22.543291,2014-06-09 11:28:00,80382156,"68·","114.075668,22.543291",9,17
114.063056,22.527256,2014-06-09 11:37:00,360886600,"68·","114.063056,22.527256",25,14
114.034927,22.525108,2014-06-09 11:50:00,292715850,"68·","114.034927,22.525108",5,11
114.039581,22.522396,2014-06-09 13:07:00,293850682,"68·","114.039581,22.522396",5,11
114.062568,22.5631,2014-06-09 13:34:00,287057282,"68·","114.062568,22.5631",31,21
113.940567,22.544799,2014-06-09 17:48:00,290425592,"68·","113.940567,22.544799",6,3
113.94062,22.540849,2014-06-09 17:50:00,360242730,"68·","113.94062,22.540849",6,3
114.063133,22.537216,2014-06-09 10:38:00,293550516,"68·","114.063133,22.537216",21,15
114.061866,22.638896,2014-06-09 09:00:00,293933722,"68·","114.061866,22.638896",11,34
114.057098,22.636966,2014-06-09 09:03:00,329611825,"68·","114.057098,22.636966",12,33
114.035057,22.622566,2014-06-09 09:26:00,23375379,"68·","114.035057,22.622566",10,30
114.024246,22.531419,2014-06-09 12:16:00,294251925,"68·","114.024246,22.531419",26,9
114.051918,22.517955,2014-06-09 12:28:00,294340920,"68·","114.051918,22.517955",8,12
114.062797,22.655134,2014-06-09 14:29:00,330174009,"68·","114.062797,22.655134",1,37
114.042602,22.639432,2014-06-09 14:43:00,280136984,"68·","114.042602,22.639432",2,31
114.036331,22.524366,2014-06-09 17:38:00,20606937,"68·","114.036331,22.524366",5,11
114.044952,22.519599,2014-06-09 09:21:00,323296530,"68·","114.044952,22.519599",8,12
113.940605,22.541666,2014-06-09 10:30:00,361374341,"68·","113.940605,22.541666",6,3
114.062568,22.654808,2014-06-09 14:09:00,326105643,"68·","114.062568,22.654808",1,37
113.940452,22.548767,2014-06-09 16:26:00,320768704,"68·","113.940452,22.548767",6,3
113.940551,22.54095,2014-06-09 16:28:00,323383336,"68·","113.940551,22.54095",6,3
114.063201,22.528417,2014-06-09 17:04:00,328032417,"68·","114.063201,22.528417",25,14
