经度,纬度,业务时间,卡片记录编码,线路名称,经纬度,上车站点,实际站点
114.06130900000001,22.651321,2014-06-09 08:06,280680582,68路,"114.061309,22.651321",13,36
114.06130900000001,22.651321,2014-06-09 08:06,290929580,68路,"114.061309,22.651321",13,36
114.06130900000001,22.651321,2014-06-09 08:06,292236595,68路,"114.061309,22.651321",13,36
114.06130900000001,22.651321,2014-06-09 08:06,324751191,68路,"114.061309,22.651321",13,36
114.06130900000001,22.651321,2014-06-09 08:06,325905061,68路,"114.061309,22.651321",13,36
114.06130900000001,22.651321,2014-06-09 08:06,328186768,68路,"114.061309,22.651321",13,36
114.06130900000001,22.651321,2014-06-09 08:06,329273961,68路,"114.061309,22.651321",13,36
114.06130900000001,22.651321,2014-06-09 08:06,364008266,68路,"114.061309,22.651321",13,36
113.94062,22.560032999999997,2014-06-09 08:07,323503136,68路,"113.94062,22.560033",17,2
114.035453,22.524816,2014-06-09 08:26,329645057,68路,"114.035453,22.524816",5,11
114.042045,22.639526,2014-06-09 08:31,292036589,68路,"114.042045,22.639526",2,31
114.042045,22.639526,2014-06-09 08:31,297575273,68路,"114.042045,22.639526",2,31
114.0317,22.637315,2014-06-09 08:37,80314131,68路,"114.0317,22.637315",2,31
114.0317,22.637315,2014-06-09 08:37,292736245,68路,"114.0317,22.637315",2,31
114.0317,22.637315,2014-06-09 08:37,293349294,68路,"114.0317,22.637315",2,31
114.0317,22.637315,2014-06-09 08:37,293811129,68路,"114.0317,22.637315",2,31
114.0317,22.637315,2014-06-09 08:37,298114966,68路,"114.0317,22.637315",2,31
114.0317,22.637315,2014-06-09 08:37,320770463,68路,"114.0317,22.637315",2,31
114.0317,22.637315,2014-06-09 08:37,322430097,68路,"114.0317,22.637315",2,31
114.0317,22.637315,2014-06-09 08:37,327382440,68路,"114.0317,22.637315",2,31
114.0317,22.637315,2014-06-09 08:37,360802823,68路,"114.0317,22.637315",2,31
113.99686399999999,22.529382000000002,2014-06-09 08:44,20817241,68路,"113.996864,22.529382",18,7
113.99686399999999,22.529382000000002,2014-06-09 08:44,80002928,68路,"113.996864,22.529382",18,7
114.03511,22.622260999999998,2014-06-09 08:44,280786325,68路,"114.03511,22.622261",10,30
113.99686399999999,22.529382000000002,2014-06-09 08:44,291270262,68路,"113.996864,22.529382",18,7
113.99686399999999,22.529382000000002,2014-06-09 08:44,294563892,68路,"113.996864,22.529382",18,7
114.03511,22.622260999999998,2014-06-09 08:44,294862943,68路,"114.03511,22.622261",10,30
114.03511,22.622260999999998,2014-06-09 08:44,323146354,68路,"114.03511,22.622261",10,30
114.03511,22.622260999999998,2014-06-09 08:44,326623510,68路,"114.03511,22.622261",10,30
113.99686399999999,22.529382000000002,2014-06-09 08:44,327451531,68路,"113.996864,22.529382",18,7
114.03511,22.622260999999998,2014-06-09 08:44,329772759,68路,"114.03511,22.622261",10,30
114.03898600000001,22.641265,2014-06-09 08:45,360732274,68路,"114.038986,22.641265",2,31
114.040481,22.610065,2014-06-09 08:51,293781361,68路,"114.040481,22.610065",19,28
114.033767,22.627,2014-06-09 08:11,293858309,68路,"114.033767,22.627",10,30
114.07601899999999,22.542467000000002,2014-06-09 08:20,290342373,68路,"114.076019,22.542467",9,17
114.03649899999999,22.618748999999998,2014-06-09 08:29,280856436,68路,"114.036499,22.618749",10,30
114.032279,22.630117000000002,2014-06-09 08:35,326999405,68路,"114.032279,22.630117",10,30
114.058967,22.519783,2014-06-09 08:43,326187199,68路,"114.058967,22.519783",25,14
114.06118000000001,22.521133,2014-06-09 08:45,297047456,68路,"114.06118,22.521133",25,14
114.06323200000001,22.525295,2014-06-09 08:46,294364472,68路,"114.063232,22.525295",25,14
114.06318600000002,22.526836,2014-06-09 08:46,326118616,68路,"114.063186,22.526836",25,14
114.065498,22.538145,2014-06-09 08:53,328235228,68路,"114.065498,22.538145",21,15
114.06597099999999,22.659004,2014-06-09 08:25,294671785,68路,"114.065971,22.659004",1,37
114.06365900000002,22.656343,2014-06-09 08:25,330664132,68路,"114.063659,22.656343",1,37
114.042953,22.639123,2014-06-09 08:06,441165877,68路,"114.042953,22.639123",2,31
114.050407,22.518085,2014-06-09 08:22,660213562,68路,"114.050407,22.518085",8,12
114.035385,22.52485,2014-06-09 08:35,700084031,68路,"114.035385,22.52485",5,11
114.061866,22.638896,2014-06-09 09:00,293933722,68路,"114.061866,22.638896",11,34
114.06596299999998,22.659067,2014-06-09 08:06,327382130,68路,"114.065963,22.659067",1,37
114.06336200000001,22.655981,2014-06-09 08:06,293839527,68路,"114.063362,22.655981",1,37
114.061531,22.65225,2014-06-09 08:08,292381181,68路,"114.061531,22.65225",13,36
114.06128600000001,22.651184,2014-06-09 08:08,325712344,68路,"114.061286,22.651184",13,36
114.06198799999999,22.522361,2014-06-09 08:27,361397543,68路,"114.061988,22.522361",25,14
114.04153400000001,22.639947,2014-06-09 08:06,327271936,68路,"114.041534,22.639947",2,31
114.032913,22.64225,2014-06-09 08:09,323673091,68路,"114.032913,22.64225",2,31
114.035179,22.622535,2014-06-09 08:21,20117321,68路,"114.035179,22.622535",10,30
114.03521699999999,22.621633,2014-06-09 08:21,325164742,68路,"114.035217,22.621633",10,30
114.035804,22.620075,2014-06-09 08:21,291169970,68路,"114.035804,22.620075",10,30
114.038261,22.614843,2014-06-09 08:25,328174428,68路,"114.038261,22.614843",10,30
114.031745,22.637264000000002,2014-06-09 08:26,294675633,68路,"114.031745,22.637264",2,31
114.049797,22.518383,2014-06-09 08:12,322124861,68路,"114.049797,22.518383",8,12
