����,γ��,ҵ��ʱ��,��Ƭ��¼����,��·����,��γ��,�ϳ�վ��,ʵ��վ��
114.044097,22.638799,2014-06-09 19:43,291387495,68·,"114.044097,22.638799",2,31
114.03218000000001,22.631732,2014-06-09 21:26,322436134,68·,"114.03218,22.631732",10,30
114.061302,22.648466,2014-06-09 19:51,280873246,68·,"114.061302,22.648466",13,36
114.06109599999999,22.647716,2014-06-09 21:40,23465687,68·,"114.061096,22.647716",13,36
114.05545,22.636016,2014-06-09 21:48,292571990,68·,"114.05545,22.636016",12,33
114.039184,22.641282999999998,2014-06-09 21:51,322894949,68·,"114.039184,22.641283",2,31
114.03201200000001,22.630649,2014-06-09 21:56,290447638,68·,"114.032012,22.630649",10,30
114.045585,22.598748999999998,2014-06-09 19:37,290234597,68·,"114.045585,22.598749",24,25
114.0354,22.622066,2014-06-09 19:49,292419663,68·,"114.0354,22.622066",10,30
114.06195,22.638866,2014-06-09 22:16,292131599,68·,"114.06195,22.638866",11,34
114.03168400000001,22.636375,2014-06-09 22:27,322339002,68·,"114.031684,22.636375",2,31
114.03218000000001,22.631666,2014-06-09 22:28,327198453,68·,"114.03218,22.631666",10,30
114.07225,22.6548,2014-06-09 20:00,361345717,68·,"114.07225,22.6548",28,39
114.061599,22.638883,2014-06-09 20:11,327413777,68·,"114.061599,22.638883",11,34
114.05587,22.636182,2014-06-09 20:17,290045439,68·,"114.05587,22.636182",12,33
114.03955,22.64105,2014-06-09 20:21,325798951,68·,"114.03955,22.64105",2,31
114.03563600000001,22.624082,2014-06-09 20:33,328293434,68·,"114.035636,22.624082",10,30
114.044898,22.519515,2014-06-09 21:16,323711737,68·,"114.044898,22.519515",8,12
114.03366799999999,22.627252,2014-06-09 19:37,326594990,68·,"114.033668,22.627252",10,30
114.057975,22.637496,2014-06-09 22:01,360581647,68·,"114.057975,22.637496",12,33
114.035102,22.642549,2014-06-09 22:07,294096407,68·,"114.035102,22.642549",2,31
114.03215,22.639882999999998,2014-06-09 22:09,322991865,68·,"114.03215,22.639883",2,31
114.046798,22.518966,2014-06-09 22:55,294111740,68·,"114.046798,22.518966",8,12
114.03690300000001,22.617584,2014-06-09 21:08,322026381,68·,"114.036903,22.617584",10,30
114.04261699999999,22.520992,2014-06-09 20:19,292961594,68·,"114.042617,22.520992",8,12
114.06763400000001,22.659999,2014-06-09 19:01,324918801,68·,"114.067634,22.659999",34,38
113.940498,22.546516,2014-06-09 21:22,330190312,68·,"113.940498,22.546516",6,3
113.94053600000001,22.544666,2014-06-09 21:23,320648222,68·,"113.940536,22.544666",6,3
114.03305800000001,22.641622,2014-06-09 22:40,292701943,68·,"114.033058,22.641622",2,31
114.072166,22.654832,2014-06-09 19:41,322803879,68·,"114.072166,22.654832",28,39
114.051048,22.637516,2014-06-09 20:03,292951115,68·,"114.051048,22.637516",12,33
114.042396,22.639561999999998,2014-06-09 20:06,328333289,68·,"114.042396,22.639562",2,31
114.03998500000002,22.640933,2014-06-09 20:07,297712298,68·,"114.039985,22.640933",2,31
114.03998500000002,22.640933,2014-06-09 20:09,326888234,68·,"114.039985,22.640933",2,31
114.02916699999999,22.528382999999998,2014-06-09 21:06,361340243,68·,"114.029167,22.528383",4,10
114.04278500000001,22.5205,2014-06-09 22:32,293166876,68·,"114.042785,22.5205",8,12
114.06313300000001,22.535482000000002,2014-06-09 22:42,293966379,68·,"114.063133,22.535482",21,15
114.03305,22.629382999999997,2014-06-09 20:01,329539684,68·,"114.03305,22.629383",10,30
114.07621699999999,22.544616,2014-06-09 20:33,290054595,68·,"114.076217,22.544616",9,17
114.063034,22.527532,2014-06-09 20:41,294222153,68·,"114.063034,22.527532",25,14
114.04703500000001,22.518917000000002,2014-06-09 20:46,292493178,68·,"114.047035,22.518917",8,12
113.94513700000002,22.5335,2014-06-09 21:55,660641180,68·,"113.945137,22.5335",29,4
113.94062,22.560482999999998,2014-06-09 20:42,290811633,68·,"113.94062,22.560483",17,2
113.940483,22.557016,2014-06-09 20:43,323091586,68·,"113.940483,22.557016",17,2
113.94501399999999,22.537482999999998,2014-06-09 20:52,285039464,68·,"113.945014,22.537483",29,4
114.0438,22.520067,2014-06-09 21:13,360071296,68·,"114.0438,22.520067",8,12
114.06316299999999,22.537466000000002,2014-06-09 21:24,361093329,68·,"114.063163,22.537466",21,15
114.03627,22.61938,2014-06-09 21:57,293899788,68·,"114.03627,22.61938",10,30
114.033332,22.628671,2014-06-09 22:00,329231798,68·,"114.033332,22.628671",10,30
114.04996399999999,22.518182,2014-06-09 19:06,330659451,68·,"114.049964,22.518182",8,12
114.034896,22.642549,2014-06-09 20:06,294806515,68·,"114.034896,22.642549",2,31
114.044334,22.638714999999998,2014-06-09 20:06,20468553,68·,"114.044334,22.638715",2,31
113.940467,22.549217000000002,2014-06-09 19:03,322259915,68·,"113.940467,22.549217",6,3
