"����","γ��","ҵ��ʱ��","��Ƭ��¼����","��·����","��γ��","�ϳ�վ��","ʵ��վ��"
114.044097,22.638799,2014-06-09 19:43:00,291387495,"68·","114.044097,22.638799",2,31
114.03218,22.631732,2014-06-09 21:26:00,322436134,"68·","114.03218,22.631732",10,30
114.061302,22.648466,2014-06-09 19:51:00,280873246,"68·","114.061302,22.648466",13,36
114.061096,22.647716,2014-06-09 21:40:00,23465687,"68·","114.061096,22.647716",13,36
114.05545,22.636016,2014-06-09 21:48:00,292571990,"68·","114.05545,22.636016",12,33
114.039184,22.641283,2014-06-09 21:51:00,322894949,"68·","114.039184,22.641283",2,31
114.032012,22.630649,2014-06-09 21:56:00,290447638,"68·","114.032012,22.630649",10,30
114.045585,22.598749,2014-06-09 19:37:00,290234597,"68·","114.045585,22.598749",24,25
114.0354,22.622066,2014-06-09 19:49:00,292419663,"68·","114.0354,22.622066",10,30
114.06195,22.638866,2014-06-09 22:16:00,292131599,"68·","114.06195,22.638866",11,34
114.031684,22.636375,2014-06-09 22:27:00,322339002,"68·","114.031684,22.636375",2,31
114.03218,22.631666,2014-06-09 22:28:00,327198453,"68·","114.03218,22.631666",10,30
114.07225,22.6548,2014-06-09 20:00:00,361345717,"68·","114.07225,22.6548",28,39
114.061599,22.638883,2014-06-09 20:11:00,327413777,"68·","114.061599,22.638883",11,34
114.05587,22.636182,2014-06-09 20:17:00,290045439,"68·","114.05587,22.636182",12,33
114.03955,22.64105,2014-06-09 20:21:00,325798951,"68·","114.03955,22.64105",2,31
114.035636,22.624082,2014-06-09 20:33:00,328293434,"68·","114.035636,22.624082",10,30
114.044898,22.519515,2014-06-09 21:16:00,323711737,"68·","114.044898,22.519515",8,12
114.033668,22.627252,2014-06-09 19:37:00,326594990,"68·","114.033668,22.627252",10,30
114.057975,22.637496,2014-06-09 22:01:00,360581647,"68·","114.057975,22.637496",12,33
114.035102,22.642549,2014-06-09 22:07:00,294096407,"68·","114.035102,22.642549",2,31
114.03215,22.639883,2014-06-09 22:09:00,322991865,"68·","114.03215,22.639883",2,31
114.046798,22.518966,2014-06-09 22:55:00,294111740,"68·","114.046798,22.518966",8,12
114.036903,22.617584,2014-06-09 21:08:00,322026381,"68·","114.036903,22.617584",10,30
114.042617,22.520992,2014-06-09 20:19:00,292961594,"68·","114.042617,22.520992",8,12
114.067634,22.659999,2014-06-09 19:01:00,324918801,"68·","114.067634,22.659999",34,38
113.940498,22.546516,2014-06-09 21:22:00,330190312,"68·","113.940498,22.546516",6,3
113.940536,22.544666,2014-06-09 21:23:00,320648222,"68·","113.940536,22.544666",6,3
114.033058,22.641622,2014-06-09 22:40:00,292701943,"68·","114.033058,22.641622",2,31
114.072166,22.654832,2014-06-09 19:41:00,322803879,"68·","114.072166,22.654832",28,39
114.051048,22.637516,2014-06-09 20:03:00,292951115,"68·","114.051048,22.637516",12,33
114.042396,22.639562,2014-06-09 20:06:00,328333289,"68·","114.042396,22.639562",2,31
114.039985,22.640933,2014-06-09 20:07:00,297712298,"68·","114.039985,22.640933",2,31
114.039985,22.640933,2014-06-09 20:09:00,326888234,"68·","114.039985,22.640933",2,31
114.029167,22.528383,2014-06-09 21:06:00,361340243,"68·","114.029167,22.528383",4,10
114.042785,22.5205,2014-06-09 22:32:00,293166876,"68·","114.042785,22.5205",8,12
114.063133,22.535482,2014-06-09 22:42:00,293966379,"68·","114.063133,22.535482",21,15
114.03305,22.629383,2014-06-09 20:01:00,329539684,"68·","114.03305,22.629383",10,30
114.076217,22.544616,2014-06-09 20:33:00,290054595,"68·","114.076217,22.544616",9,17
114.063034,22.527532,2014-06-09 20:41:00,294222153,"68·","114.063034,22.527532",25,14
114.047035,22.518917,2014-06-09 20:46:00,292493178,"68·","114.047035,22.518917",8,12
113.945137,22.5335,2014-06-09 21:55:00,660641180,"68·","113.945137,22.5335",29,4
113.94062,22.560483,2014-06-09 20:42:00,290811633,"68·","113.94062,22.560483",17,2
113.940483,22.557016,2014-06-09 20:43:00,323091586,"68·","113.940483,22.557016",17,2
113.945014,22.537483,2014-06-09 20:52:00,285039464,"68·","113.945014,22.537483",29,4
114.0438,22.520067,2014-06-09 21:13:00,360071296,"68·","114.0438,22.520067",8,12
114.063163,22.537466,2014-06-09 21:24:00,361093329,"68·","114.063163,22.537466",21,15
114.03627,22.61938,2014-06-09 21:57:00,293899788,"68·","114.03627,22.61938",10,30
114.033332,22.628671,2014-06-09 22:00:00,329231798,"68·","114.033332,22.628671",10,30
114.049964,22.518182,2014-06-09 19:06:00,330659451,"68·","114.049964,22.518182",8,12
114.034896,22.642549,2014-06-09 20:06:00,294806515,"68·","114.034896,22.642549",2,31
114.044334,22.638715,2014-06-09 20:06:00,20468553,"68·","114.044334,22.638715",2,31
113.940467,22.549217,2014-06-09 19:03:00,322259915,"68·","113.940467,22.549217",6,3
113.940643,22.540441,2014-06-09 19:06:00,326365595,"68·","113.940643,22.540441",6,3
113.947982,22.530134,2014-06-09 19:11:00,328284787,"68·","113.947982,22.530134",3,5
114.062149,22.6403,2014-06-09 19:03:00,251278057,"68·","114.062149,22.6403",11,34
114.052001,22.518365,2014-06-09 20:01:00,23489080,"68·","114.052001,22.518365",8,12
113.945137,22.533817,2014-06-09 20:26:00,294586935,"68·","113.945137,22.533817",29,4
113.940498,22.5491,2014-06-09 20:51:00,325363256,"68·","113.940498,22.5491",6,3
113.945137,22.5331,2014-06-09 20:57:00,291220282,"68·","113.945137,22.5331",29,4
114.047302,22.518615,2014-06-09 21:19:00,329646847,"68·","114.047302,22.518615",8,12
114.03598,22.619941,2014-06-09 22:03:00,20971301,"68·","114.03598,22.619941",10,30
113.940765,22.560199,2014-06-09 19:44:00,329737347,"68·","113.940765,22.560199",17,2
114.053153,22.518316,2014-06-09 20:19:00,328250343,"68·","114.053153,22.518316",8,12
113.94503,22.537517,2014-06-09 19:21:00,293835003,"68·","113.94503,22.537517",29,4
114.046867,22.518716,2014-06-09 19:43:00,361052536,"68·","114.046867,22.518716",8,12
114.063117,22.53725,2014-06-09 19:51:00,23005360,"68·","114.063117,22.53725",21,15
114.063117,22.53725,2014-06-09 19:51:00,293175826,"68·","114.063117,22.53725",21,15
114.035896,22.620149,2014-06-09 20:27:00,292995848,"68·","114.035896,22.620149",10,30
114.064979,22.551532,2014-06-09 19:38:00,329852653,"68·","114.064979,22.551532",20,20
114.042816,22.520532,2014-06-09 19:10:00,297667062,"68·","114.042816,22.520532",8,12
114.062934,22.537134,2014-06-09 19:20:00,326705981,"68·","114.062934,22.537134",21,15
114.035484,22.6219,2014-06-09 19:59:00,323139349,"68·","114.035484,22.6219",10,30
114.057853,22.637596,2014-06-09 19:30:00,328630647,"68·","114.057853,22.637596",12,33
114.074462,22.543052,2014-06-09 20:26:00,290817754,"68·","114.074462,22.543052",9,17
113.94355,22.539382,2014-06-09 21:06:00,294586776,"68·","113.94355,22.539382",29,4
113.940589,22.540225,2014-06-09 21:37:00,20359195,"68·","113.940589,22.540225",6,3
113.941917,22.539234,2014-06-09 21:38:00,326525371,"68·","113.941917,22.539234",6,3
114.041534,22.5212,2014-06-09 21:58:00,328385829,"68·","114.041534,22.5212",8,12
