Date,Elec,Line loss
2011/11/11,4640,0.103942
2011/11/14,4450,0.122144
2011/11/15,4300,0.127975
2011/11/16,4290,0.128812
2011/11/17,4010,0.130313
2011/11/18,4560,0.137545
2011/11/21,3720,0.14292
2011/11/22,3740,0.143239
2011/11/23,3850,0.170954
2011/11/24,4150,0.17349
2011/11/25,5210,0.176371
2011/11/28,4680,0.181208
2011/11/29,3760,0.183174
2011/11/30,3680,0.185745
2011/12/1,3630,0.186683
2011/12/2,3260,0.188081
2011/12/5,3590,0.188357
2011/12/6,3040,0.189
2011/12/7,3030,0.189966
2011/12/8,3410,0.193112
2011/12/9,2490,0.195216
2011/12/12,2160,0.195245
2011/12/13,2850,0.199213
2011/12/14,2900,0.199333
2011/12/15,3090,0.201736
2011/12/16,2840,0.202479
2011/12/19,1530,0.20405
2011/12/20,2020,0.212295
2011/12/21,2540,0.22871
2011/12/22,2440,0.290558
2011/12/23,2710,0.293697
2011/12/26,2100,0.312358
2011/12/27,1990,0.327387
2011/12/28,2260,0.332095
2011/12/29,2140,0.337797
2011/12/30,1150,0.342096
2012/1/2,1140,0.34315
2012/1/3,1140,0.347539
2012/1/4,1640,0.348317
2012/1/5,1510,0.348598
2012/1/6,1410,0.349237
2012/1/9,1640,0.350485
2012/1/10,1410,0.36026
